setting,loss,display_name,lr,epochs,l2,train_size,time_seconds,final_train_objective,final_val_objective,threshold,test_accuracy,test_precision,test_recall,test_f1,test_auc,test_tp,test_tn,test_fp,test_fn
full_train,logistic_bce,Logistic BCE,0.08,500,0.01,397,0.19591920002130792,0.05097212747736499,0.11001305292819273,0.5399999999999999,0.9772727272727273,1.0,0.9393939393939394,0.96875,0.9977961432506887,31,55,0,2
full_train,linear_probability,Linear probability loss,0.2,500,0.01,397,0.17535059998044744,0.023125160481232355,0.033215862821158584,0.15999999999999998,1.0,1.0,1.0,1.0,1.0,33,55,0,0
full_train,squared_probability,Squared probability loss,0.2,500,0.01,397,0.1546787999686785,0.00768221558643396,0.01136895429420319,0.3999999999999999,0.9886363636363636,1.0,0.9696969696969697,0.9846153846153847,1.0,32,55,0,1
full_train,quartic_probability,Quartic probability loss,0.5,500,0.01,397,0.19475100003182888,0.0013229542097012996,0.0023593620901962787,0.5099999999999999,0.9772727272727273,1.0,0.9393939393939394,0.96875,1.0,31,55,0,2
full_train,exponential_margin,Exponential margin loss,0.002,500,0.01,397,0.1738476000027731,0.14172425857393461,0.16190556882442564,0.5599999999999999,0.9659090909090909,1.0,0.9090909090909091,0.9523809523809523,0.9988980716253444,30,55,0,3
full_train,squared_hinge_margin,Squared hinge margin loss,0.01,500,0.01,397,0.16018250002525747,0.055568232584041935,0.21079214266565305,0.5499999999999999,0.9545454545454546,1.0,0.8787878787878788,0.9354838709677419,0.996694214876033,29,55,0,4
full_train,cubic_hinge_margin,Cubic hinge margin loss,0.002,500,0.01,397,0.16101769998203963,0.07090635274931244,0.18124820741969894,0.5099999999999999,0.9659090909090909,1.0,0.9090909090909091,0.9523809523809523,0.9977961432506887,30,55,0,3
full_train,log_cosh_margin,Log-cosh margin loss,0.04,500,0.01,397,0.1767585999914445,0.09168427533021463,0.12549235796245664,0.4799999999999999,0.9431818181818182,1.0,0.8484848484848485,0.9180327868852458,0.996694214876033,28,55,0,5
small_train_80,logistic_bce,Logistic BCE,0.08,500,0.01,79,0.063350000011269,0.02510004238213301,0.11407951683936059,0.31999999999999995,0.9772727272727273,1.0,0.9393939393939394,0.96875,0.9944903581267218,31,55,0,2
small_train_80,linear_probability,Linear probability loss,0.2,500,0.01,79,0.05735029996139929,0.018514748742933795,0.044970699576656115,0.26999999999999996,0.9772727272727273,1.0,0.9393939393939394,0.96875,0.996694214876033,31,55,0,2
small_train_80,squared_probability,Squared probability loss,0.2,500,0.01,79,0.048936699982732534,0.004779634917031564,0.015423668999251492,0.38999999999999996,0.9772727272727273,1.0,0.9393939393939394,0.96875,0.9950413223140496,31,55,0,2
small_train_80,quartic_probability,Quartic probability loss,0.5,500,0.01,79,0.055771199986338615,0.0007051028133453671,0.002687582919402465,0.43999999999999995,0.9772727272727273,1.0,0.9393939393939394,0.96875,0.9950413223140496,31,55,0,2
small_train_80,exponential_margin,Exponential margin loss,0.002,500,0.01,79,0.05496170005062595,0.1513244729399877,0.2407267554049768,0.35999999999999993,1.0,1.0,1.0,1.0,1.0,33,55,0,0
small_train_80,squared_hinge_margin,Squared hinge margin loss,0.01,500,0.01,79,0.05007329996442422,0.01312853644477697,0.1785345096956772,0.5199999999999999,0.9431818181818182,1.0,0.8484848484848485,0.9180327868852458,0.9911845730027549,28,55,0,5
small_train_80,cubic_hinge_margin,Cubic hinge margin loss,0.002,500,0.01,79,0.053107099956832826,0.03815249129773031,0.15570615820324038,0.4599999999999999,0.9772727272727273,1.0,0.9393939393939394,0.96875,0.996694214876033,31,55,0,2
small_train_80,log_cosh_margin,Log-cosh margin loss,0.04,500,0.01,79,0.058235200005583465,0.0631361717774692,0.15313320048844475,0.4699999999999999,0.9431818181818182,1.0,0.8484848484848485,0.9180327868852458,0.9724517906336089,28,55,0,5
